name,molecule,strategy,n_curves,curves_kept,em2_candidates,em2_dropped,dots_moved,pts_added,pts_trimmed,f1,recall,precision,col_cov,xcal_rmse,error
graph-124,BENZENE,base,2,2,0,0,307,0,0,0.9956,1.0,0.9912,1.0,47.0,
graph-125,BENZENE,parallel,2,2,1,0,609,0,0,0.9941,0.9998,0.9884,0.9966,1.5,
graph-126,DEUTERATED BENZENE C.0g,base,2,2,0,0,279,0,0,0.9947,0.9997,0.9898,0.9971,81.7,
graph-127,FLUOROBENZENE,base,2,2,0,0,219,4,0,0.9746,0.9508,0.9996,0.9353,54.5,
graph-128,FLUOROBENZENE,base,3,2,2,1,385,0,0,0.9996,1.0,0.9992,1.0,2.6,
graph-129,TOLUENE,base,2,2,0,0,145,0,0,0.9933,0.9928,0.9939,0.9866,83.1,
graph-130,TOLUENE (TRACE),base,2,2,0,0,314,0,0,0.9787,0.9907,0.9671,0.99,9.3,
graph-131,TOLUENE,base,2,2,1,0,457,0,0,0.9954,0.9999,0.9909,0.9987,46.6,
graph-132,DEUTERATED TOLUENE C7Dg,base,2,2,0,0,335,0,0,0.9916,0.9983,0.9849,0.9971,74.9,
graph-133,DEUTERATED TOLUENE C7Dg,base,2,2,1,0,596,0,0,0.9943,1.0,0.9887,1.0,52.9,
graph-134,ETHYL BENZENE,base,2,2,0,0,325,0,0,0.9938,0.9926,0.9949,0.9874,40.8,
graph-135,ETHYLBENZENE (TRACE),base,2,2,0,0,481,0,0,0.9948,0.9925,0.9972,0.9869,73.2,
graph-136,ETHYL BENZENE,parallel,2,2,1,0,746,0,0,0.9966,0.9994,0.9938,0.9979,47.2,
graph-137,PROPYL BENZENE,columnar,2,2,0,0,312,0,0,0.992,0.9969,0.9871,0.9929,2.5,
graph-138,ISOPROPYL BENZENE,columnar,2,2,0,0,325,0,0,0.9911,0.995,0.9872,0.9925,43.1,
graph-139,ISOPROPYL BENZENE,parallel,2,2,1,0,529,0,0,0.992,1.0,0.9842,1.0,1.1,
graph-140,SEC-BUTYL BENZENE,base,2,2,0,0,297,0,0,0.9951,0.997,0.9931,0.9918,9.2,
graph-141,SEC-BUT YLBENZENE (TRACE),adapt,2,2,0,0,455,0,0,0.9416,0.9857,0.9012,0.9876,4.6,
graph-142,DIPHENYL METHANE,resolved,2,2,0,0,229,0,0,0.95,0.9085,0.9954,0.9303,30.2,
graph-143,BIBENZYL,base,2,2,0,0,312,0,0,0.9978,0.9989,0.9967,0.996,2.0,
